08-22 16:16:30.982--ProcessEvnet--CurrentState:None, Event:Start
08-22 16:16:32.888--ProcessEvnet--CurrentState:Starting, Event:StartCompleted
08-22 16:16:33.732--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 16:16:42.013--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:16:42.076--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:16:52.044--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:16:52.106--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:17:02.074--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:17:02.137--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:17:12.105--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:17:12.167--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:17:22.135--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:17:22.198--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:17:32.166--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:17:32.228--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:17:42.196--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:17:42.259--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:17:48.508--ProcessEvnet--CurrentState:Idle, Event:IssueDocCmdReceived
08-22 16:17:49.321--ProcessEvnet--CurrentState:WaitingIssueDocMsgResp, Event:RecvedIssueDocMsgRespNG
08-22 16:17:49.336--ProcessEvnet--CurrentState:SendingIssueDocCmdResult, Event:IssueDocRespSent
08-22 16:17:49.743--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 16:17:49.774--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 16:17:52.227--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:17:52.289--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:18:02.257--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:18:02.320--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:18:12.288--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:18:12.350--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:18:22.318--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:18:22.381--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:18:32.349--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:18:32.411--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:18:42.370--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:18:42.433--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:18:52.401--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:18:52.463--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:19:02.431--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:19:02.494--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:19:12.462--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:19:12.524--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:19:22.493--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:19:22.556--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:19:32.524--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:19:32.587--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:19:34.274--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 16:19:42.555--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:19:42.617--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:19:52.585--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:19:52.648--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:20:02.607--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:20:02.669--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:20:12.633--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:20:12.695--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:20:22.641--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:20:22.665--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:20:32.677--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:20:32.701--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:20:42.773--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:20:42.800--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:20:52.793--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:20:52.818--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:21:02.832--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:21:02.895--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:21:12.863--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:21:12.925--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:21:22.893--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:21:22.956--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:21:32.924--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:21:32.986--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:21:42.954--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:21:43.017--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:21:52.985--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:21:53.048--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:22:03.016--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:22:03.078--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 16:22:13.046--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 16:22:13.109--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
