08-22 15:19:09.206--ProcessEvnet--CurrentState:None, Event:Start
08-22 15:19:10.784--ProcessEvnet--CurrentState:Starting, Event:StartCompleted
08-22 15:19:11.096--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:19:11.159--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:19:11.799--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 15:19:21.111--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:19:21.174--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:19:31.142--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:19:32.189--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:19:41.172--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:19:41.235--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:19:51.203--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:19:51.265--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:20:01.233--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:20:01.296--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:20:11.264--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:20:11.327--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:20:21.295--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:20:21.357--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:20:31.325--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:20:31.388--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:20:41.356--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:20:41.418--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:20:51.386--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:20:51.449--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:21:01.417--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:21:01.479--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:21:11.448--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:21:11.510--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:21:21.494--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:21:21.556--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:21:31.524--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:21:31.587--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:21:41.555--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:21:41.617--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:21:51.587--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:21:51.649--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:22:01.618--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:22:01.680--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:22:11.648--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:22:11.711--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:22:21.679--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:22:21.741--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:22:31.709--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:22:31.772--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:22:41.740--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:22:41.802--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:22:51.771--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:22:51.833--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:23:01.802--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:23:01.864--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:23:11.833--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:23:11.895--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:23:21.864--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:23:21.926--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:23:31.894--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:23:31.957--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:23:41.925--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:23:41.987--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:23:51.955--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:23:52.018--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:24:01.986--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:24:02.048--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:24:12.032--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:24:12.095--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:24:22.047--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:24:22.109--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:24:32.078--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:24:32.141--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:24:42.109--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:24:42.172--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:24:52.140--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:24:52.203--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:25:02.171--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:25:02.234--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:25:12.202--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:25:12.265--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:25:22.233--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:25:22.295--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:25:32.264--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:25:32.326--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:25:42.294--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:25:42.357--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:25:52.325--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:25:52.387--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:26:02.355--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:26:02.418--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:26:12.386--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:26:12.449--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:26:22.417--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:26:22.479--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:26:32.447--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:26:32.510--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:26:42.478--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:26:42.540--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:26:52.509--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:26:52.571--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:27:02.540--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:27:02.602--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:27:12.571--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:27:12.633--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
08-22 15:27:19.289--ProcessEvnet--CurrentState:Idle, Event:POSClientStatusChanged
08-22 15:27:22.601--ProcessEvnet--CurrentState:Idle, Event:LifeCheckCmdReceived
08-22 15:27:22.664--ProcessEvnet--CurrentState:Idle, Event:SendLifeCheckResp
